R12 = 05.409 Kohm,   Node1--<|----/\/\/--Node2 (i.e direction 0) 
R13 = 07.282 Kohm,   Node1--<|----/\/\/--Node3 (i.e direction 0) 
R14 = 03.956 Kohm,   Node1--/\/\/----|>--Node4 (i.e direction 1) 
R15 = 08.250 Kohm,   Node1--<|----/\/\/--Node5 (i.e direction 0) 
R16 = 05.118 Kohm,   Node1--<|----/\/\/--Node6 (i.e direction 0) 
R23 = 00.121 Kohm,   Node2--<|----/\/\/--Node3 (i.e direction 0) 
R24 = 05.868 Kohm,   Node2--/\/\/----|>--Node4 (i.e direction 1) 
R25 = 06.329 Kohm,   Node2--<|----/\/\/--Node5 (i.e direction 0) 
R26 = 00.202 Kohm,   Node2--/\/\/----|>--Node6 (i.e direction 1) 
R34 = 02.375 Kohm,   Node3--/\/\/----|>--Node4 (i.e direction 1) 
R35 = 04.131 Kohm,   Node3--/\/\/----|>--Node5 (i.e direction 1) 
R36 = 08.420 Kohm,   Node3--<|----/\/\/--Node6 (i.e direction 0) 
R45 = 05.667 Kohm,   Node4--<|----/\/\/--Node5 (i.e direction 0) 
R46 = 00.807 Kohm,   Node4--/\/\/----|>--Node6 (i.e direction 1) 
R56 = 01.909 Kohm,   Node5--<|----/\/\/--Node6 (i.e direction 0) 
