R12 = 04.293 Kohm,   Node1--<|----/\/\/--Node2 (i.e direction 0) 
R13 = 05.956 Kohm,   Node1--/\/\/----|>--Node3 (i.e direction 1) 
R14 = 05.902 Kohm,   Node1--/\/\/----|>--Node4 (i.e direction 1) 
R15 = 01.843 Kohm,   Node1--<|----/\/\/--Node5 (i.e direction 0) 
R16 = 01.054 Kohm,   Node1--/\/\/----|>--Node6 (i.e direction 1) 
R17 = 06.983 Kohm,   Node1--/\/\/----|>--Node7 (i.e direction 1) 
R23 = 04.313 Kohm,   Node2--/\/\/----|>--Node3 (i.e direction 1) 
R24 = 00.399 Kohm,   Node2--<|----/\/\/--Node4 (i.e direction 0) 
R25 = 09.257 Kohm,   Node2--/\/\/----|>--Node5 (i.e direction 1) 
R26 = 02.037 Kohm,   Node2--/\/\/----|>--Node6 (i.e direction 1) 
R27 = 04.230 Kohm,   Node2--<|----/\/\/--Node7 (i.e direction 0) 
R34 = 02.140 Kohm,   Node3--/\/\/----|>--Node4 (i.e direction 1) 
R35 = 08.901 Kohm,   Node3--/\/\/----|>--Node5 (i.e direction 1) 
R36 = 07.031 Kohm,   Node3--<|----/\/\/--Node6 (i.e direction 0) 
R37 = 05.864 Kohm,   Node3--/\/\/----|>--Node7 (i.e direction 1) 
R45 = 00.255 Kohm,   Node4--<|----/\/\/--Node5 (i.e direction 0) 
R46 = 07.314 Kohm,   Node4--/\/\/----|>--Node6 (i.e direction 1) 
R47 = 00.905 Kohm,   Node4--<|----/\/\/--Node7 (i.e direction 0) 
R56 = 04.644 Kohm,   Node5--<|----/\/\/--Node6 (i.e direction 0) 
R57 = 08.871 Kohm,   Node5--<|----/\/\/--Node7 (i.e direction 0) 
R67 = 05.255 Kohm,   Node6--/\/\/----|>--Node7 (i.e direction 1) 
