R12 = 09.538 Kohm,   Node1--/\/\/----|>--Node2 (i.e direction 1) 
R13 = 01.537 Kohm,   Node1--/\/\/----|>--Node3 (i.e direction 1) 
R14 = 09.055 Kohm,   Node1--<|----/\/\/--Node4 (i.e direction 0) 
R15 = 08.251 Kohm,   Node1--<|----/\/\/--Node5 (i.e direction 0) 
R16 = 05.162 Kohm,   Node1--<|----/\/\/--Node6 (i.e direction 0) 
R17 = 03.819 Kohm,   Node1--/\/\/----|>--Node7 (i.e direction 1) 
R23 = 06.593 Kohm,   Node2--<|----/\/\/--Node3 (i.e direction 0) 
R24 = 06.117 Kohm,   Node2--<|----/\/\/--Node4 (i.e direction 0) 
R25 = 05.366 Kohm,   Node2--<|----/\/\/--Node5 (i.e direction 0) 
R26 = 07.615 Kohm,   Node2--<|----/\/\/--Node6 (i.e direction 0) 
R27 = 02.768 Kohm,   Node2--<|----/\/\/--Node7 (i.e direction 0) 
R34 = 08.961 Kohm,   Node3--/\/\/----|>--Node4 (i.e direction 1) 
R35 = 05.634 Kohm,   Node3--<|----/\/\/--Node5 (i.e direction 0) 
R36 = 03.438 Kohm,   Node3--/\/\/----|>--Node6 (i.e direction 1) 
R37 = 06.776 Kohm,   Node3--/\/\/----|>--Node7 (i.e direction 1) 
R45 = 03.818 Kohm,   Node4--<|----/\/\/--Node5 (i.e direction 0) 
R46 = 07.822 Kohm,   Node4--/\/\/----|>--Node6 (i.e direction 1) 
R47 = 06.261 Kohm,   Node4--/\/\/----|>--Node7 (i.e direction 1) 
R56 = 07.560 Kohm,   Node5--/\/\/----|>--Node6 (i.e direction 1) 
R57 = 07.604 Kohm,   Node5--/\/\/----|>--Node7 (i.e direction 1) 
R67 = 06.877 Kohm,   Node6--<|----/\/\/--Node7 (i.e direction 0) 
