R12 = 09.863 Kohm,   Node1--/\/\/----|>--Node2 (i.e direction 1) 
R13 = 07.384 Kohm,   Node1--/\/\/----|>--Node3 (i.e direction 1) 
R14 = 04.652 Kohm,   Node1--/\/\/----|>--Node4 (i.e direction 1) 
R15 = 02.881 Kohm,   Node1--<|----/\/\/--Node5 (i.e direction 0) 
R16 = 07.226 Kohm,   Node1--<|----/\/\/--Node6 (i.e direction 0) 
R17 = 04.805 Kohm,   Node1--<|----/\/\/--Node7 (i.e direction 0) 
R23 = 03.957 Kohm,   Node2--<|----/\/\/--Node3 (i.e direction 0) 
R24 = 02.910 Kohm,   Node2--<|----/\/\/--Node4 (i.e direction 0) 
R25 = 07.649 Kohm,   Node2--<|----/\/\/--Node5 (i.e direction 0) 
R26 = 09.319 Kohm,   Node2--/\/\/----|>--Node6 (i.e direction 1) 
R27 = 08.221 Kohm,   Node2--/\/\/----|>--Node7 (i.e direction 1) 
R34 = 06.448 Kohm,   Node3--<|----/\/\/--Node4 (i.e direction 0) 
R35 = 09.107 Kohm,   Node3--<|----/\/\/--Node5 (i.e direction 0) 
R36 = 05.368 Kohm,   Node3--<|----/\/\/--Node6 (i.e direction 0) 
R37 = 04.356 Kohm,   Node3--<|----/\/\/--Node7 (i.e direction 0) 
R45 = 08.515 Kohm,   Node4--<|----/\/\/--Node5 (i.e direction 0) 
R46 = 09.820 Kohm,   Node4--/\/\/----|>--Node6 (i.e direction 1) 
R47 = 09.440 Kohm,   Node4--<|----/\/\/--Node7 (i.e direction 0) 
R56 = 07.660 Kohm,   Node5--<|----/\/\/--Node6 (i.e direction 0) 
R57 = 07.180 Kohm,   Node5--<|----/\/\/--Node7 (i.e direction 0) 
R67 = 09.210 Kohm,   Node6--/\/\/----|>--Node7 (i.e direction 1) 
