R12 = 03.405 Kohm,   Node1--<|----/\/\/--Node2 (i.e direction 0) 
R13 = 02.125 Kohm,   Node1--<|----/\/\/--Node3 (i.e direction 0) 
R14 = 06.051 Kohm,   Node1--/\/\/----|>--Node4 (i.e direction 1) 
R15 = 06.490 Kohm,   Node1--/\/\/----|>--Node5 (i.e direction 1) 
R16 = 07.004 Kohm,   Node1--<|----/\/\/--Node6 (i.e direction 0) 
R17 = 00.420 Kohm,   Node1--/\/\/----|>--Node7 (i.e direction 1) 
R23 = 05.432 Kohm,   Node2--/\/\/----|>--Node3 (i.e direction 1) 
R24 = 09.123 Kohm,   Node2--<|----/\/\/--Node4 (i.e direction 0) 
R25 = 04.160 Kohm,   Node2--<|----/\/\/--Node5 (i.e direction 0) 
R26 = 09.043 Kohm,   Node2--/\/\/----|>--Node6 (i.e direction 1) 
R27 = 00.630 Kohm,   Node2--/\/\/----|>--Node7 (i.e direction 1) 
R34 = 05.567 Kohm,   Node3--<|----/\/\/--Node4 (i.e direction 0) 
R35 = 07.809 Kohm,   Node3--/\/\/----|>--Node5 (i.e direction 1) 
R36 = 06.350 Kohm,   Node3--<|----/\/\/--Node6 (i.e direction 0) 
R37 = 03.242 Kohm,   Node3--<|----/\/\/--Node7 (i.e direction 0) 
R45 = 03.298 Kohm,   Node4--/\/\/----|>--Node5 (i.e direction 1) 
R46 = 02.548 Kohm,   Node4--<|----/\/\/--Node6 (i.e direction 0) 
R47 = 07.603 Kohm,   Node4--<|----/\/\/--Node7 (i.e direction 0) 
R56 = 05.141 Kohm,   Node5--<|----/\/\/--Node6 (i.e direction 0) 
R57 = 04.055 Kohm,   Node5--<|----/\/\/--Node7 (i.e direction 0) 
R67 = 04.959 Kohm,   Node6--<|----/\/\/--Node7 (i.e direction 0) 
