R12 = 04.977 Kohm,   Node1--/\/\/----|>--Node2 (i.e direction 1) 
R13 = 08.621 Kohm,   Node1--<|----/\/\/--Node3 (i.e direction 0) 
R14 = 04.975 Kohm,   Node1--<|----/\/\/--Node4 (i.e direction 0) 
R15 = 06.979 Kohm,   Node1--<|----/\/\/--Node5 (i.e direction 0) 
R16 = 06.342 Kohm,   Node1--/\/\/----|>--Node6 (i.e direction 1) 
R17 = 03.019 Kohm,   Node1--/\/\/----|>--Node7 (i.e direction 1) 
R23 = 02.479 Kohm,   Node2--/\/\/----|>--Node3 (i.e direction 1) 
R24 = 07.995 Kohm,   Node2--<|----/\/\/--Node4 (i.e direction 0) 
R25 = 00.947 Kohm,   Node2--/\/\/----|>--Node5 (i.e direction 1) 
R26 = 07.805 Kohm,   Node2--<|----/\/\/--Node6 (i.e direction 0) 
R27 = 02.011 Kohm,   Node2--<|----/\/\/--Node7 (i.e direction 0) 
R34 = 08.596 Kohm,   Node3--<|----/\/\/--Node4 (i.e direction 0) 
R35 = 09.516 Kohm,   Node3--/\/\/----|>--Node5 (i.e direction 1) 
R36 = 05.491 Kohm,   Node3--<|----/\/\/--Node6 (i.e direction 0) 
R37 = 06.343 Kohm,   Node3--<|----/\/\/--Node7 (i.e direction 0) 
R45 = 04.252 Kohm,   Node4--/\/\/----|>--Node5 (i.e direction 1) 
R46 = 07.094 Kohm,   Node4--<|----/\/\/--Node6 (i.e direction 0) 
R47 = 02.618 Kohm,   Node4--<|----/\/\/--Node7 (i.e direction 0) 
R56 = 06.179 Kohm,   Node5--/\/\/----|>--Node6 (i.e direction 1) 
R57 = 09.046 Kohm,   Node5--/\/\/----|>--Node7 (i.e direction 1) 
R67 = 09.855 Kohm,   Node6--/\/\/----|>--Node7 (i.e direction 1) 
