R12 = 04.869 Kohm,   Node1--/\/\/----|>--Node2 (i.e direction 1) 
R13 = 07.162 Kohm,   Node1--<|----/\/\/--Node3 (i.e direction 0) 
R14 = 05.383 Kohm,   Node1--/\/\/----|>--Node4 (i.e direction 1) 
R15 = 00.378 Kohm,   Node1--/\/\/----|>--Node5 (i.e direction 1) 
R16 = 07.447 Kohm,   Node1--/\/\/----|>--Node6 (i.e direction 1) 
R17 = 00.601 Kohm,   Node1--<|----/\/\/--Node7 (i.e direction 0) 
R23 = 07.306 Kohm,   Node2--/\/\/----|>--Node3 (i.e direction 1) 
R24 = 08.030 Kohm,   Node2--/\/\/----|>--Node4 (i.e direction 1) 
R25 = 01.533 Kohm,   Node2--/\/\/----|>--Node5 (i.e direction 1) 
R26 = 08.659 Kohm,   Node2--<|----/\/\/--Node6 (i.e direction 0) 
R27 = 01.749 Kohm,   Node2--<|----/\/\/--Node7 (i.e direction 0) 
R34 = 06.949 Kohm,   Node3--<|----/\/\/--Node4 (i.e direction 0) 
R35 = 05.656 Kohm,   Node3--<|----/\/\/--Node5 (i.e direction 0) 
R36 = 08.820 Kohm,   Node3--<|----/\/\/--Node6 (i.e direction 0) 
R37 = 02.554 Kohm,   Node3--<|----/\/\/--Node7 (i.e direction 0) 
R45 = 04.646 Kohm,   Node4--/\/\/----|>--Node5 (i.e direction 1) 
R46 = 05.074 Kohm,   Node4--/\/\/----|>--Node6 (i.e direction 1) 
R47 = 00.626 Kohm,   Node4--<|----/\/\/--Node7 (i.e direction 0) 
R56 = 03.979 Kohm,   Node5--/\/\/----|>--Node6 (i.e direction 1) 
R57 = 02.786 Kohm,   Node5--<|----/\/\/--Node7 (i.e direction 0) 
R67 = 04.519 Kohm,   Node6--<|----/\/\/--Node7 (i.e direction 0) 
