R12 = 05.025 Kohm,   Node1--<|----/\/\/--Node2 (i.e direction 0) 
R13 = 02.632 Kohm,   Node1--<|----/\/\/--Node3 (i.e direction 0) 
R14 = 06.665 Kohm,   Node1--/\/\/----|>--Node4 (i.e direction 1) 
R15 = 06.435 Kohm,   Node1--/\/\/----|>--Node5 (i.e direction 1) 
R16 = 00.151 Kohm,   Node1--/\/\/----|>--Node6 (i.e direction 1) 
R17 = 08.546 Kohm,   Node1--/\/\/----|>--Node7 (i.e direction 1) 
R23 = 09.973 Kohm,   Node2--<|----/\/\/--Node3 (i.e direction 0) 
R24 = 06.543 Kohm,   Node2--/\/\/----|>--Node4 (i.e direction 1) 
R25 = 04.117 Kohm,   Node2--/\/\/----|>--Node5 (i.e direction 1) 
R26 = 02.612 Kohm,   Node2--/\/\/----|>--Node6 (i.e direction 1) 
R27 = 05.390 Kohm,   Node2--<|----/\/\/--Node7 (i.e direction 0) 
R34 = 05.144 Kohm,   Node3--/\/\/----|>--Node4 (i.e direction 1) 
R35 = 04.587 Kohm,   Node3--<|----/\/\/--Node5 (i.e direction 0) 
R36 = 04.441 Kohm,   Node3--<|----/\/\/--Node6 (i.e direction 0) 
R37 = 01.799 Kohm,   Node3--<|----/\/\/--Node7 (i.e direction 0) 
R45 = 05.392 Kohm,   Node4--/\/\/----|>--Node5 (i.e direction 1) 
R46 = 06.170 Kohm,   Node4--/\/\/----|>--Node6 (i.e direction 1) 
R47 = 03.067 Kohm,   Node4--<|----/\/\/--Node7 (i.e direction 0) 
R56 = 02.781 Kohm,   Node5--/\/\/----|>--Node6 (i.e direction 1) 
R57 = 02.602 Kohm,   Node5--/\/\/----|>--Node7 (i.e direction 1) 
R67 = 06.778 Kohm,   Node6--<|----/\/\/--Node7 (i.e direction 0) 
