R12 = 09.816 Kohm,   Node1--<|----/\/\/--Node2 (i.e direction 0) 
R13 = 07.904 Kohm,   Node1--<|----/\/\/--Node3 (i.e direction 0) 
R14 = 03.885 Kohm,   Node1--/\/\/----|>--Node4 (i.e direction 1) 
R15 = 00.447 Kohm,   Node1--/\/\/----|>--Node5 (i.e direction 1) 
R16 = 09.432 Kohm,   Node1--/\/\/----|>--Node6 (i.e direction 1) 
R17 = 05.248 Kohm,   Node1--/\/\/----|>--Node7 (i.e direction 1) 
R23 = 06.779 Kohm,   Node2--<|----/\/\/--Node3 (i.e direction 0) 
R24 = 04.527 Kohm,   Node2--/\/\/----|>--Node4 (i.e direction 1) 
R25 = 06.277 Kohm,   Node2--/\/\/----|>--Node5 (i.e direction 1) 
R26 = 05.150 Kohm,   Node2--/\/\/----|>--Node6 (i.e direction 1) 
R27 = 08.334 Kohm,   Node2--<|----/\/\/--Node7 (i.e direction 0) 
R34 = 08.403 Kohm,   Node3--/\/\/----|>--Node4 (i.e direction 1) 
R35 = 07.527 Kohm,   Node3--<|----/\/\/--Node5 (i.e direction 0) 
R36 = 07.935 Kohm,   Node3--/\/\/----|>--Node6 (i.e direction 1) 
R37 = 08.300 Kohm,   Node3--/\/\/----|>--Node7 (i.e direction 1) 
R45 = 09.099 Kohm,   Node4--/\/\/----|>--Node5 (i.e direction 1) 
R46 = 02.563 Kohm,   Node4--/\/\/----|>--Node6 (i.e direction 1) 
R47 = 08.995 Kohm,   Node4--/\/\/----|>--Node7 (i.e direction 1) 
R56 = 03.792 Kohm,   Node5--<|----/\/\/--Node6 (i.e direction 0) 
R57 = 04.181 Kohm,   Node5--/\/\/----|>--Node7 (i.e direction 1) 
R67 = 00.713 Kohm,   Node6--/\/\/----|>--Node7 (i.e direction 1) 
