R12 = 03.383 Kohm,   Node1--/\/\/----|>--Node2 (i.e direction 1) 
R13 = 06.545 Kohm,   Node1--/\/\/----|>--Node3 (i.e direction 1) 
R14 = 02.706 Kohm,   Node1--<|----/\/\/--Node4 (i.e direction 0) 
R15 = 08.082 Kohm,   Node1--<|----/\/\/--Node5 (i.e direction 0) 
R16 = 01.152 Kohm,   Node1--/\/\/----|>--Node6 (i.e direction 1) 
R17 = 09.014 Kohm,   Node1--<|----/\/\/--Node7 (i.e direction 0) 
R23 = 06.009 Kohm,   Node2--<|----/\/\/--Node3 (i.e direction 0) 
R24 = 00.450 Kohm,   Node2--/\/\/----|>--Node4 (i.e direction 1) 
R25 = 04.993 Kohm,   Node2--<|----/\/\/--Node5 (i.e direction 0) 
R26 = 01.454 Kohm,   Node2--/\/\/----|>--Node6 (i.e direction 1) 
R27 = 09.215 Kohm,   Node2--/\/\/----|>--Node7 (i.e direction 1) 
R34 = 07.174 Kohm,   Node3--/\/\/----|>--Node4 (i.e direction 1) 
R35 = 08.387 Kohm,   Node3--/\/\/----|>--Node5 (i.e direction 1) 
R36 = 07.922 Kohm,   Node3--<|----/\/\/--Node6 (i.e direction 0) 
R37 = 03.129 Kohm,   Node3--<|----/\/\/--Node7 (i.e direction 0) 
R45 = 06.592 Kohm,   Node4--<|----/\/\/--Node5 (i.e direction 0) 
R46 = 02.363 Kohm,   Node4--/\/\/----|>--Node6 (i.e direction 1) 
R47 = 06.104 Kohm,   Node4--/\/\/----|>--Node7 (i.e direction 1) 
R56 = 03.617 Kohm,   Node5--<|----/\/\/--Node6 (i.e direction 0) 
R57 = 04.359 Kohm,   Node5--/\/\/----|>--Node7 (i.e direction 1) 
R67 = 07.706 Kohm,   Node6--/\/\/----|>--Node7 (i.e direction 1) 
