R12 = 05.481 Kohm,   Node1--/\/\/----|>--Node2 (i.e direction 1) 
R13 = 07.458 Kohm,   Node1--/\/\/----|>--Node3 (i.e direction 1) 
R14 = 09.725 Kohm,   Node1--<|----/\/\/--Node4 (i.e direction 0) 
R15 = 07.010 Kohm,   Node1--/\/\/----|>--Node5 (i.e direction 1) 
R16 = 09.966 Kohm,   Node1--<|----/\/\/--Node6 (i.e direction 0) 
R23 = 02.460 Kohm,   Node2--<|----/\/\/--Node3 (i.e direction 0) 
R24 = 03.124 Kohm,   Node2--<|----/\/\/--Node4 (i.e direction 0) 
R25 = 06.256 Kohm,   Node2--<|----/\/\/--Node5 (i.e direction 0) 
R26 = 04.479 Kohm,   Node2--/\/\/----|>--Node6 (i.e direction 1) 
R34 = 01.205 Kohm,   Node3--<|----/\/\/--Node4 (i.e direction 0) 
R35 = 08.813 Kohm,   Node3--<|----/\/\/--Node5 (i.e direction 0) 
R36 = 00.673 Kohm,   Node3--/\/\/----|>--Node6 (i.e direction 1) 
R45 = 00.621 Kohm,   Node4--<|----/\/\/--Node5 (i.e direction 0) 
R46 = 05.371 Kohm,   Node4--<|----/\/\/--Node6 (i.e direction 0) 
R56 = 02.067 Kohm,   Node5--<|----/\/\/--Node6 (i.e direction 0) 
