R12 = 06.179 Kohm,   Node1--<|----/\/\/--Node2 (i.e direction 0) 
R13 = 08.182 Kohm,   Node1--<|----/\/\/--Node3 (i.e direction 0) 
R14 = 04.351 Kohm,   Node1--/\/\/----|>--Node4 (i.e direction 1) 
R15 = 08.277 Kohm,   Node1--<|----/\/\/--Node5 (i.e direction 0) 
R16 = 04.184 Kohm,   Node1--<|----/\/\/--Node6 (i.e direction 0) 
R23 = 04.183 Kohm,   Node2--<|----/\/\/--Node3 (i.e direction 0) 
R24 = 00.526 Kohm,   Node2--<|----/\/\/--Node4 (i.e direction 0) 
R25 = 09.289 Kohm,   Node2--<|----/\/\/--Node5 (i.e direction 0) 
R26 = 06.082 Kohm,   Node2--/\/\/----|>--Node6 (i.e direction 1) 
R34 = 05.921 Kohm,   Node3--/\/\/----|>--Node4 (i.e direction 1) 
R35 = 08.072 Kohm,   Node3--<|----/\/\/--Node5 (i.e direction 0) 
R36 = 09.622 Kohm,   Node3--<|----/\/\/--Node6 (i.e direction 0) 
R45 = 01.849 Kohm,   Node4--<|----/\/\/--Node5 (i.e direction 0) 
R46 = 04.871 Kohm,   Node4--/\/\/----|>--Node6 (i.e direction 1) 
R56 = 09.020 Kohm,   Node5--/\/\/----|>--Node6 (i.e direction 1) 
