R12 = 08.792 Kohm,   Node1--<|----/\/\/--Node2 (i.e direction 0) 
R13 = 08.408 Kohm,   Node1--/\/\/----|>--Node3 (i.e direction 1) 
R14 = 08.190 Kohm,   Node1--<|----/\/\/--Node4 (i.e direction 0) 
R15 = 00.116 Kohm,   Node1--<|----/\/\/--Node5 (i.e direction 0) 
R16 = 06.522 Kohm,   Node1--/\/\/----|>--Node6 (i.e direction 1) 
R17 = 03.766 Kohm,   Node1--<|----/\/\/--Node7 (i.e direction 0) 
R18 = 02.811 Kohm,   Node1--/\/\/----|>--Node8 (i.e direction 1) 
R19 = 04.244 Kohm,   Node1--<|----/\/\/--Node9 (i.e direction 0) 
R23 = 06.469 Kohm,   Node2--/\/\/----|>--Node3 (i.e direction 1) 
R24 = 06.029 Kohm,   Node2--<|----/\/\/--Node4 (i.e direction 0) 
R25 = 02.291 Kohm,   Node2--<|----/\/\/--Node5 (i.e direction 0) 
R26 = 03.645 Kohm,   Node2--<|----/\/\/--Node6 (i.e direction 0) 
R27 = 07.773 Kohm,   Node2--/\/\/----|>--Node7 (i.e direction 1) 
R28 = 05.275 Kohm,   Node2--/\/\/----|>--Node8 (i.e direction 1) 
R29 = 05.187 Kohm,   Node2--/\/\/----|>--Node9 (i.e direction 1) 
R34 = 05.485 Kohm,   Node3--/\/\/----|>--Node4 (i.e direction 1) 
R35 = 03.464 Kohm,   Node3--<|----/\/\/--Node5 (i.e direction 0) 
R36 = 03.591 Kohm,   Node3--/\/\/----|>--Node6 (i.e direction 1) 
R37 = 08.451 Kohm,   Node3--<|----/\/\/--Node7 (i.e direction 0) 
R38 = 05.628 Kohm,   Node3--/\/\/----|>--Node8 (i.e direction 1) 
R39 = 05.289 Kohm,   Node3--<|----/\/\/--Node9 (i.e direction 0) 
R45 = 05.721 Kohm,   Node4--<|----/\/\/--Node5 (i.e direction 0) 
R46 = 09.862 Kohm,   Node4--<|----/\/\/--Node6 (i.e direction 0) 
R47 = 00.601 Kohm,   Node4--<|----/\/\/--Node7 (i.e direction 0) 
R48 = 06.543 Kohm,   Node4--<|----/\/\/--Node8 (i.e direction 0) 
R49 = 02.886 Kohm,   Node4--/\/\/----|>--Node9 (i.e direction 1) 
R56 = 00.922 Kohm,   Node5--/\/\/----|>--Node6 (i.e direction 1) 
R57 = 02.121 Kohm,   Node5--<|----/\/\/--Node7 (i.e direction 0) 
R58 = 03.961 Kohm,   Node5--<|----/\/\/--Node8 (i.e direction 0) 
R59 = 09.187 Kohm,   Node5--<|----/\/\/--Node9 (i.e direction 0) 
R67 = 07.709 Kohm,   Node6--/\/\/----|>--Node7 (i.e direction 1) 
R68 = 03.465 Kohm,   Node6--/\/\/----|>--Node8 (i.e direction 1) 
R69 = 04.779 Kohm,   Node6--/\/\/----|>--Node9 (i.e direction 1) 
R78 = 05.269 Kohm,   Node7--<|----/\/\/--Node8 (i.e direction 0) 
R79 = 09.401 Kohm,   Node7--/\/\/----|>--Node9 (i.e direction 1) 
R89 = 08.269 Kohm,   Node8--<|----/\/\/--Node9 (i.e direction 0) 
