Rn1n2 = 74.926 Kohm,   n1--/\/\/----|>--n2 (i.e direction 1) 
Rn1n3 = 68.454 Kohm,   n1--<|----/\/\/--n3 (i.e direction 0) 
Rn1n4 = 10.297 Kohm,   n1--<|----/\/\/--n4 (i.e direction 0) 
Rn1n5 = 31.365 Kohm,   n1--/\/\/----|>--n5 (i.e direction 1) 
Rn1n6 = 37.314 Kohm,   n1--/\/\/----|>--n6 (i.e direction 1) 
Rn1n7 = 29.719 Kohm,   n1--<|----/\/\/--n7 (i.e direction 0) 
Rn1n8 = 53.556 Kohm,   n1--/\/\/----|>--n8 (i.e direction 1) 
Rn1n9 = 67.813 Kohm,   n1--/\/\/----|>--n9 (i.e direction 1) 
Rn1n10 = 10.577 Kohm,   n1--<|----/\/\/--n10 (i.e direction 0) 
Rn2n3 = 30.474 Kohm,   n2--/\/\/----|>--n3 (i.e direction 1) 
Rn2n4 = 61.105 Kohm,   n2--<|----/\/\/--n4 (i.e direction 0) 
Rn2n5 = 32.959 Kohm,   n2--/\/\/----|>--n5 (i.e direction 1) 
Rn2n6 = 90.737 Kohm,   n2--<|----/\/\/--n6 (i.e direction 0) 
Rn2n7 = 11.854 Kohm,   n2--/\/\/----|>--n7 (i.e direction 1) 
Rn2n8 = 60.057 Kohm,   n2--<|----/\/\/--n8 (i.e direction 0) 
Rn2n9 = 14.705 Kohm,   n2--<|----/\/\/--n9 (i.e direction 0) 
Rn2n10 = 96.047 Kohm,   n2--/\/\/----|>--n10 (i.e direction 1) 
Rn3n4 = 69.631 Kohm,   n3--<|----/\/\/--n4 (i.e direction 0) 
Rn3n5 = 85.698 Kohm,   n3--/\/\/----|>--n5 (i.e direction 1) 
Rn3n6 = 14.645 Kohm,   n3--<|----/\/\/--n6 (i.e direction 0) 
Rn3n7 = 19.716 Kohm,   n3--/\/\/----|>--n7 (i.e direction 1) 
Rn3n8 = 58.905 Kohm,   n3--<|----/\/\/--n8 (i.e direction 0) 
Rn3n9 = 38.178 Kohm,   n3--<|----/\/\/--n9 (i.e direction 0) 
Rn3n10 = 45.972 Kohm,   n3--<|----/\/\/--n10 (i.e direction 0) 
Rn4n5 = 79.258 Kohm,   n4--/\/\/----|>--n5 (i.e direction 1) 
Rn4n6 = 65.690 Kohm,   n4--<|----/\/\/--n6 (i.e direction 0) 
Rn4n7 = 10.211 Kohm,   n4--/\/\/----|>--n7 (i.e direction 1) 
Rn4n8 = 30.765 Kohm,   n4--<|----/\/\/--n8 (i.e direction 0) 
Rn4n9 = 98.144 Kohm,   n4--<|----/\/\/--n9 (i.e direction 0) 
Rn4n10 = 44.655 Kohm,   n4--/\/\/----|>--n10 (i.e direction 1) 
Rn5n6 = 80.184 Kohm,   n5--<|----/\/\/--n6 (i.e direction 0) 
Rn5n7 = 15.820 Kohm,   n5--/\/\/----|>--n7 (i.e direction 1) 
Rn5n8 = 63.178 Kohm,   n5--<|----/\/\/--n8 (i.e direction 0) 
Rn5n9 = 98.386 Kohm,   n5--<|----/\/\/--n9 (i.e direction 0) 
Rn5n10 = 70.054 Kohm,   n5--<|----/\/\/--n10 (i.e direction 0) 
Rn6n7 = 27.502 Kohm,   n6--/\/\/----|>--n7 (i.e direction 1) 
Rn6n8 = 47.887 Kohm,   n6--<|----/\/\/--n8 (i.e direction 0) 
Rn6n9 = 38.335 Kohm,   n6--<|----/\/\/--n9 (i.e direction 0) 
Rn6n10 = 58.275 Kohm,   n6--<|----/\/\/--n10 (i.e direction 0) 
Rn7n8 = 97.932 Kohm,   n7--<|----/\/\/--n8 (i.e direction 0) 
Rn7n9 = 20.174 Kohm,   n7--<|----/\/\/--n9 (i.e direction 0) 
Rn7n10 = 34.631 Kohm,   n7--<|----/\/\/--n10 (i.e direction 0) 
Rn8n9 = 48.232 Kohm,   n8--/\/\/----|>--n9 (i.e direction 1) 
Rn8n10 = 41.701 Kohm,   n8--<|----/\/\/--n10 (i.e direction 0) 
Rn9n10 = 73.606 Kohm,   n9--/\/\/----|>--n10 (i.e direction 1) 

Output Shunt Resistance = 70.000 kOhm 
Input Contact Resistance = 200.000 Ohm 
Output Contact Resistance = 0.000 Ohm 
